"Year" "Month" "MWh"
2013 1 710.747
2013 2 2931
2013 3 4283.433
2013 4 4578.625
2013 5 8143.86
2013 6 9164.759
2013 7 9888.303
2013 8 9490.7
2013 9 8321.493
2013 10 6852.981
2013 11 5983.52
2013 12 3468.589
2014 1 3609.15
2014 2 2773.205
2014 3 4267.442
2014 4 5681.085
2014 5 5528.553
2014 6 9440.36
2014 7 10767.99
2014 8 6808.608
2014 9 6253.075
2014 10 7666.007
2014 11 2521.233
2014 12 495.487
2015 1 1137.14
2015 2 5312.47
2015 3 6444.695
2015 4 6780.383
2015 5 8977.827
2015 6 9878.685
2015 7 9852.272
2015 8 7572.63
2015 9 7534.338
2015 10 5897.621
2015 11 4276.883
2015 12 1926.93
2016 1 3651.407
2016 2 1354.593
2016 3 2932.51
2016 4 5579.36
2016 5 8223.579
2016 6 9312.685
2016 7 10739.518
2016 8 10096.152
2016 9 7360.745
2016 10 6481.341
2016 11 3315.307
2016 12 1272.23
2017 1 6716.683
2017 2 6497.644
2017 3 6883.499
2017 4 2879.767
2017 5 10174.122
2017 6 9165.215
2017 7 10678.555
2017 8 9419.418
2017 9 6974.969
2017 10 8305.011
2017 11 5365.172
2017 12 4136.15
