Total Nacional	Provincias	Tipo de dato	Periodo	Total
Total Nacional	34 Palencia	Dato base	2023SM44	27
Total Nacional	34 Palencia	Dato base	2023SM43	46
Total Nacional	34 Palencia	Dato base	2023SM42	53
Total Nacional	34 Palencia	Dato base	2023SM41	33
Total Nacional	34 Palencia	Dato base	2023SM40	31
Total Nacional	34 Palencia	Dato base	2023SM39	42
Total Nacional	34 Palencia	Dato base	2023SM38	24
Total Nacional	34 Palencia	Dato base	2023SM37	27
Total Nacional	34 Palencia	Dato base	2023SM36	40
Total Nacional	34 Palencia	Dato base	2023SM35	32
Total Nacional	34 Palencia	Dato base	2023SM34	55
Total Nacional	34 Palencia	Dato base	2023SM33	35
Total Nacional	34 Palencia	Dato base	2023SM32	29
Total Nacional	34 Palencia	Dato base	2023SM31	38
Total Nacional	34 Palencia	Dato base	2023SM30	40
Total Nacional	34 Palencia	Dato base	2023SM29	22
Total Nacional	34 Palencia	Dato base	2023SM28	37
Total Nacional	34 Palencia	Dato base	2023SM27	38
Total Nacional	34 Palencia	Dato base	2023SM26	40
Total Nacional	34 Palencia	Dato base	2023SM25	35
Total Nacional	34 Palencia	Dato base	2023SM24	32
Total Nacional	34 Palencia	Dato base	2023SM23	41
Total Nacional	34 Palencia	Dato base	2023SM22	45
Total Nacional	34 Palencia	Dato base	2023SM21	35
Total Nacional	34 Palencia	Dato base	2023SM20	31
Total Nacional	34 Palencia	Dato base	2023SM19	28
Total Nacional	34 Palencia	Dato base	2023SM18	32
Total Nacional	34 Palencia	Dato base	2023SM17	42
Total Nacional	34 Palencia	Dato base	2023SM16	49
Total Nacional	34 Palencia	Dato base	2023SM15	27
Total Nacional	34 Palencia	Dato base	2023SM14	47
Total Nacional	34 Palencia	Dato base	2023SM13	41
Total Nacional	34 Palencia	Dato base	2023SM12	29
Total Nacional	34 Palencia	Dato base	2023SM11	36
Total Nacional	34 Palencia	Dato base	2023SM10	50
Total Nacional	34 Palencia	Dato base	2023SM09	31
Total Nacional	34 Palencia	Dato base	2023SM08	55
Total Nacional	34 Palencia	Dato base	2023SM07	37
Total Nacional	34 Palencia	Dato base	2023SM06	37
Total Nacional	34 Palencia	Dato base	2023SM05	45
Total Nacional	34 Palencia	Dato base	2023SM04	31
Total Nacional	34 Palencia	Dato base	2023SM03	41
Total Nacional	34 Palencia	Dato base	2023SM02	46
Total Nacional	34 Palencia	Dato base	2023SM01	47
Total Nacional	34 Palencia	Dato base	2022SM52	52
Total Nacional	34 Palencia	Dato base	2022SM51	48
Total Nacional	34 Palencia	Dato base	2022SM50	31
Total Nacional	34 Palencia	Dato base	2022SM49	44
Total Nacional	34 Palencia	Dato base	2022SM48	45
Total Nacional	34 Palencia	Dato base	2022SM47	52
Total Nacional	34 Palencia	Dato base	2022SM46	47
Total Nacional	34 Palencia	Dato base	2022SM45	24
Total Nacional	34 Palencia	Dato base	2022SM44	45
Total Nacional	34 Palencia	Dato base	2022SM43	46
Total Nacional	34 Palencia	Dato base	2022SM42	40
Total Nacional	34 Palencia	Dato base	2022SM41	37
Total Nacional	34 Palencia	Dato base	2022SM40	48
Total Nacional	34 Palencia	Dato base	2022SM39	32
Total Nacional	34 Palencia	Dato base	2022SM38	37
Total Nacional	34 Palencia	Dato base	2022SM37	41
Total Nacional	34 Palencia	Dato base	2022SM36	36
Total Nacional	34 Palencia	Dato base	2022SM35	45
Total Nacional	34 Palencia	Dato base	2022SM34	33
Total Nacional	34 Palencia	Dato base	2022SM33	35
Total Nacional	34 Palencia	Dato base	2022SM32	53
Total Nacional	34 Palencia	Dato base	2022SM31	43
Total Nacional	34 Palencia	Dato base	2022SM30	46
Total Nacional	34 Palencia	Dato base	2022SM29	86
Total Nacional	34 Palencia	Dato base	2022SM28	73
Total Nacional	34 Palencia	Dato base	2022SM27	53
Total Nacional	34 Palencia	Dato base	2022SM26	38
Total Nacional	34 Palencia	Dato base	2022SM25	35
Total Nacional	34 Palencia	Dato base	2022SM24	58
Total Nacional	34 Palencia	Dato base	2022SM23	33
Total Nacional	34 Palencia	Dato base	2022SM22	39
Total Nacional	34 Palencia	Dato base	2022SM21	42
Total Nacional	34 Palencia	Dato base	2022SM20	43
Total Nacional	34 Palencia	Dato base	2022SM19	45
Total Nacional	34 Palencia	Dato base	2022SM18	22
Total Nacional	34 Palencia	Dato base	2022SM17	46
Total Nacional	34 Palencia	Dato base	2022SM16	36
Total Nacional	34 Palencia	Dato base	2022SM15	38
Total Nacional	34 Palencia	Dato base	2022SM14	47
Total Nacional	34 Palencia	Dato base	2022SM13	41
Total Nacional	34 Palencia	Dato base	2022SM12	27
Total Nacional	34 Palencia	Dato base	2022SM11	39
Total Nacional	34 Palencia	Dato base	2022SM10	30
Total Nacional	34 Palencia	Dato base	2022SM09	43
Total Nacional	34 Palencia	Dato base	2022SM08	37
Total Nacional	34 Palencia	Dato base	2022SM07	49
Total Nacional	34 Palencia	Dato base	2022SM06	42
Total Nacional	34 Palencia	Dato base	2022SM05	50
Total Nacional	34 Palencia	Dato base	2022SM04	54
Total Nacional	34 Palencia	Dato base	2022SM03	47
Total Nacional	34 Palencia	Dato base	2022SM02	45
Total Nacional	34 Palencia	Dato base	2022SM01	43
Total Nacional	34 Palencia	Dato base	2021SM52	51
Total Nacional	34 Palencia	Dato base	2021SM51	41
Total Nacional	34 Palencia	Dato base	2021SM50	47
Total Nacional	34 Palencia	Dato base	2021SM49	36
Total Nacional	34 Palencia	Dato base	2021SM48	43
Total Nacional	34 Palencia	Dato base	2021SM47	48
Total Nacional	34 Palencia	Dato base	2021SM46	35
Total Nacional	34 Palencia	Dato base	2021SM45	39
Total Nacional	34 Palencia	Dato base	2021SM44	37
Total Nacional	34 Palencia	Dato base	2021SM43	40
Total Nacional	34 Palencia	Dato base	2021SM42	44
Total Nacional	34 Palencia	Dato base	2021SM41	33
Total Nacional	34 Palencia	Dato base	2021SM40	26
Total Nacional	34 Palencia	Dato base	2021SM39	29
Total Nacional	34 Palencia	Dato base	2021SM38	30
Total Nacional	34 Palencia	Dato base	2021SM37	36
Total Nacional	34 Palencia	Dato base	2021SM36	47
Total Nacional	34 Palencia	Dato base	2021SM35	34
Total Nacional	34 Palencia	Dato base	2021SM34	28
Total Nacional	34 Palencia	Dato base	2021SM33	53
Total Nacional	34 Palencia	Dato base	2021SM32	49
Total Nacional	34 Palencia	Dato base	2021SM31	51
Total Nacional	34 Palencia	Dato base	2021SM30	52
Total Nacional	34 Palencia	Dato base	2021SM29	60
Total Nacional	34 Palencia	Dato base	2021SM28	38
Total Nacional	34 Palencia	Dato base	2021SM27	25
Total Nacional	34 Palencia	Dato base	2021SM26	46
Total Nacional	34 Palencia	Dato base	2021SM25	31
Total Nacional	34 Palencia	Dato base	2021SM24	38
Total Nacional	34 Palencia	Dato base	2021SM23	42
Total Nacional	34 Palencia	Dato base	2021SM22	33
Total Nacional	34 Palencia	Dato base	2021SM21	39
Total Nacional	34 Palencia	Dato base	2021SM20	35
Total Nacional	34 Palencia	Dato base	2021SM19	39
Total Nacional	34 Palencia	Dato base	2021SM18	30
Total Nacional	34 Palencia	Dato base	2021SM17	46
Total Nacional	34 Palencia	Dato base	2021SM16	39
Total Nacional	34 Palencia	Dato base	2021SM15	37
Total Nacional	34 Palencia	Dato base	2021SM14	43
Total Nacional	34 Palencia	Dato base	2021SM13	32
Total Nacional	34 Palencia	Dato base	2021SM12	46
Total Nacional	34 Palencia	Dato base	2021SM11	34
Total Nacional	34 Palencia	Dato base	2021SM10	44
Total Nacional	34 Palencia	Dato base	2021SM09	39
Total Nacional	34 Palencia	Dato base	2021SM08	60
Total Nacional	34 Palencia	Dato base	2021SM07	57
Total Nacional	34 Palencia	Dato base	2021SM06	66
Total Nacional	34 Palencia	Dato base	2021SM05	74
Total Nacional	34 Palencia	Dato base	2021SM04	71
Total Nacional	34 Palencia	Dato base	2021SM03	54
Total Nacional	34 Palencia	Dato base	2021SM02	71
Total Nacional	34 Palencia	Dato base	2021SM01	59
Total Nacional	34 Palencia	Dato base	2020SM53	51
Total Nacional	34 Palencia	Dato base	2020SM52	50
Total Nacional	34 Palencia	Dato base	2020SM51	58
Total Nacional	34 Palencia	Dato base	2020SM50	78
Total Nacional	34 Palencia	Dato base	2020SM49	58
Total Nacional	34 Palencia	Dato base	2020SM48	49
Total Nacional	34 Palencia	Dato base	2020SM47	61
Total Nacional	34 Palencia	Dato base	2020SM46	71
Total Nacional	34 Palencia	Dato base	2020SM45	66
Total Nacional	34 Palencia	Dato base	2020SM44	52
Total Nacional	34 Palencia	Dato base	2020SM43	56
Total Nacional	34 Palencia	Dato base	2020SM42	51
Total Nacional	34 Palencia	Dato base	2020SM41	40
Total Nacional	34 Palencia	Dato base	2020SM40	38
Total Nacional	34 Palencia	Dato base	2020SM39	53
Total Nacional	34 Palencia	Dato base	2020SM38	38
Total Nacional	34 Palencia	Dato base	2020SM37	41
Total Nacional	34 Palencia	Dato base	2020SM36	47
Total Nacional	34 Palencia	Dato base	2020SM35	40
Total Nacional	34 Palencia	Dato base	2020SM34	44
Total Nacional	34 Palencia	Dato base	2020SM33	46
Total Nacional	34 Palencia	Dato base	2020SM32	42
